INFO:mapping_log:host_number = 6
INFO:mapping_log:vlan=11, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=12, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=13, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=14, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=15, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=16, protocol=icmp, src_ip=10.0.0.1, src_mac=00:00:00:00:00:01, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
INFO:mapping_log:vlan=21, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=22, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=23, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=24, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=25, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=26, protocol=icmp, src_ip=10.0.0.2, src_mac=00:00:00:00:00:02, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
INFO:mapping_log:vlan=31, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=32, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=33, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=34, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=35, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=36, protocol=icmp, src_ip=10.0.0.3, src_mac=00:00:00:00:00:03, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
INFO:mapping_log:vlan=41, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=42, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=43, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=44, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=45, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=46, protocol=icmp, src_ip=10.0.0.4, src_mac=00:00:00:00:00:04, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
INFO:mapping_log:vlan=51, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=52, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=53, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=54, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=55, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=56, protocol=icmp, src_ip=10.0.0.5, src_mac=00:00:00:00:00:05, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
INFO:mapping_log:vlan=61, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.1, dst_mac=00:00:00:00:00:01
INFO:mapping_log:vlan=62, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.2, dst_mac=00:00:00:00:00:02
INFO:mapping_log:vlan=63, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.3, dst_mac=00:00:00:00:00:03
INFO:mapping_log:vlan=64, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.4, dst_mac=00:00:00:00:00:04
INFO:mapping_log:vlan=65, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.5, dst_mac=00:00:00:00:00:05
INFO:mapping_log:vlan=66, protocol=icmp, src_ip=10.0.0.6, src_mac=00:00:00:00:00:06, dst_ip=10.0.0.6, dst_mac=00:00:00:00:00:06
